COMBINATIONS,DRAW DATE 
0-9-5-5,01/04/2016
1-8-7-4,01/06/2016
6-5-3-4,01/08/2016
0-6-4-4,01/11/2016
8-5-9-8,1/13/2016
7-2-6-7,1/15/2016
1-2-1-7,1/18/2016
0-9-2-7,1/20/2016
2-3-7-3,1/22/2016
5-3-5-6,1/25/2016
1-2-1-7,1/27/2016
1-4-9-7,1/29/2016
1-3-9-2,02/01/2016
5-2-7-5,02/03/2016
2-8-0-3,02/05/2016
7-9-1-6,02/08/2016
8-5-5-2,02/10/2016
5-2-4-3,02/12/2016
5-7-7-8,2/15/2016
5-9-4-0,2/17/2016
6-4-3-9,2/19/2016
2-5-6-9,2/22/2016
6-3-9-7,2/24/2016
9-5-4-8,2/26/2016
1-0-0-9,2/29/2016
3-6-5-3,03/02/2016
9-7-4-6,03/04/2016
6-4-0-2,03/07/2016
9-0-5-9,03/09/2016
2-5-9-1,03/11/2016
4-4-3-3,3/14/2016
4-5-6-1,3/16/2016
7-3-6-0,3/18/2016
0-5-6-6,3/21/2016
5-1-0-1,3/23/2016
8-0-8-9,3/28/2016
6-9-8-1,3/30/2016
4-3-2-2,04/01/2016
3-6-5-9,04/04/2016
8-9-0-8,04/06/2016
7-6-7-4,04/08/2016
2-0-3-6,04/11/2016
4-2-0-1,4/13/2016
5-0-5-1,4/15/2016
6-0-1-3,4/18/2016
9-5-4-2,4/20/2016
3-5-2-8,4/22/2016
1-1-9-4,4/25/2016
9-1-8-7,4/27/2016
1-7-1-0,4/29/2016
6-3-3-7,05/02/2016
9-1-9-0,05/04/2016
3-1-2-0,05/06/2016
3-9-8-7,05/09/2016
8-0-4-7,05/11/2016
8-5-2-7,5/13/2016
8-9-1-2,5/16/2016
0-3-9-2,5/18/2016
4-1-7-1,5/20/2016
8-9-6-6,5/23/2016
3-6-5-4,5/25/2016
4-6-6-3,5/27/2016
9-3-0-7,5/30/2016
1-5-2-2,06/01/2016
3-9-9-3,06/03/2016
9-1-1-1,06/06/2016
1-6-7-2,06/08/2016
7-0-7-3,06/10/2016
1-0-4-7,6/13/2016
8-7-9-2,6/15/2016
5-9-0-8,6/17/2016
6-6-1-0,6/20/2016
7-5-4-5,6/22/2016
7-7-4-0,6/24/2016
3-5-5-9,6/27/2016
9-1-7-1,6/29/2016
3-7-7-5,07/01/2016
0-7-5-3,07/04/2016
0-7-0-1,07/06/2016
0-6-5-7,07/08/2016
1-9-5-5,07/11/2016
0-5-5-6,7/13/2016
8-1-8-7,7/15/2016
6-6-6-0,7/18/2016
5-8-8-2,7/20/2016
3-0-5-0,7/22/2016
9-1-7-5,7/25/2016
3-2-7-9,7/27/2016
8-0-0-7,7/29/2016
